arm,N,repeat,wall_ms,p50_ms
bench_shrreg,32,1,12.877,4.544
bench_pr253,32,1,3.288,0.432
bench_shrreg,32,2,8.992,3.108
bench_pr253,32,2,3.072,0.708
bench_shrreg,32,3,7.942,3.974
bench_pr253,32,3,5.414,0.143
bench_shrreg,32,4,7.967,3.241
bench_pr253,32,4,4.194,1.478
bench_shrreg,32,5,7.431,3.431
bench_pr253,32,5,5.857,0.702
bench_shrreg,64,1,23.499,5.725
bench_pr253,64,1,5.892,2.768
bench_shrreg,64,2,232.282,208.013
bench_pr253,64,2,5.335,1.293
bench_shrreg,64,3,19.395,8.555
bench_pr253,64,3,4.077,0.789
bench_shrreg,64,4,16.202,6.125
bench_pr253,64,4,7.755,0.900
bench_shrreg,64,5,21.703,5.745
bench_pr253,64,5,4.584,0.689
bench_shrreg,128,1,39.422,16.320
bench_pr253,128,1,9.884,1.464
bench_shrreg,128,2,37.176,19.872
bench_pr253,128,2,10.160,0.126
bench_shrreg,128,3,55.951,12.870
bench_pr253,128,3,12.613,2.186
bench_shrreg,128,4,45.397,15.243
bench_pr253,128,4,7.725,1.868
bench_shrreg,128,5,32.050,11.962
bench_pr253,128,5,7.640,2.570
bench_shrreg,256,1,81.101,22.342
bench_pr253,256,1,20.348,8.042
bench_shrreg,256,2,104.851,33.592
bench_pr253,256,2,16.979,2.950
bench_shrreg,256,3,101.116,31.024
bench_pr253,256,3,13.613,1.883
bench_shrreg,256,4,87.649,24.111
bench_pr253,256,4,12.632,3.369
bench_shrreg,256,5,105.863,41.111
bench_pr253,256,5,21.271,12.121
